code	display_name	date	weight	sw1_code	sw1_name
002108.XSHE	沧州明珠	2020-08-14	0.071	801030	化工I
002115.XSHE	三维通信	2020-08-14	0.086	801770	通信I
002117.XSHE	东港股份	2020-08-14	0.087	801140	轻工制造I
002123.XSHE	梦网集团	2020-08-14	0.243	801760	传媒I
002126.XSHE	银轮股份	2020-08-14	0.221	801880	汽车I
002130.XSHE	沃尔核材	2020-08-14	0.104	801050	有色金属I
002135.XSHE	东南网架	2020-08-14	0.098	801720	建筑装饰I
002137.XSHE	麦达数字	2020-08-14	0.055	801760	传媒I
002139.XSHE	拓邦股份	2020-08-14	0.093	801080	电子I
002141.XSHE	贤丰控股	2020-08-14	0.036	801080	电子I
002145.XSHE	中核钛白	2020-08-14	0.122	801030	化工I
002151.XSHE	北斗星通	2020-08-14	0.258	801740	国防军工I
002158.XSHE	汉钟精机	2020-08-14	0.06	801890	机械设备I
002161.XSHE	远望谷	2020-08-14	0.086	801080	电子I
002166.XSHE	莱茵生物	2020-08-14	0.074	801150	医药生物I
002167.XSHE	东方锆业	2020-08-14	0.06	801050	有色金属I
002168.XSHE	惠程科技	2020-08-14	0.104	801760	传媒I
002171.XSHE	楚江新材	2020-08-14	0.115	801050	有色金属I
002182.XSHE	云海金属	2020-08-14	0.104	801050	有色金属I
002194.XSHE	武汉凡谷	2020-08-14	0.099	801770	通信I
002197.XSHE	证通电子	2020-08-14	0.084	801750	计算机I
002204.XSHE	大连重工	2020-08-14	0.067	801890	机械设备I
002206.XSHE	海利得	2020-08-14	0.058	801030	化工I
002214.XSHE	大立科技	2020-08-14	0.198	801080	电子I
002215.XSHE	诺普信	2020-08-14	0.067	801030	化工I
002216.XSHE	三全食品	2020-08-14	0.209	801120	食品饮料I
002218.XSHE	拓日新能	2020-08-14	0.059	801730	电气设备I
002222.XSHE	福晶科技	2020-08-14	0.097	801080	电子I
002224.XSHE	三力士	2020-08-14	0.066	801030	化工I
002226.XSHE	江南化工	2020-08-14	0.087	801030	化工I
002228.XSHE	合兴包装	2020-08-14	0.063	801140	轻工制造I
002229.XSHE	鸿博股份	2020-08-14	0.046	801140	轻工制造I
002232.XSHE	启明信息	2020-08-14	0.048	801750	计算机I
002234.XSHE	民和股份	2020-08-14	0.08	801010	农林牧渔I
002235.XSHE	安妮股份	2020-08-14	0.087	801140	轻工制造I
002237.XSHE	恒邦股份	2020-08-14	0.199	801050	有色金属I
002239.XSHE	奥特佳	2020-08-14	0.16	801880	汽车I
002240.XSHE	威华股份	2020-08-14	0.112	801140	轻工制造I
002243.XSHE	通产丽星	2020-08-14	0.056	801140	轻工制造I
002245.XSHE	澳洋顺昌	2020-08-14	0.063	801170	交通运输I
002246.XSHE	北化股份	2020-08-14	0.043	801030	化工I
002251.XSHE	步步高	2020-08-14	0.136	801200	商业贸易I
002254.XSHE	泰和新材	2020-08-14	0.112	801030	化工I
002258.XSHE	利尔化学	2020-08-14	0.105	801030	化工I
002261.XSHE	拓维信息	2020-08-14	0.133	801760	传媒I
002262.XSHE	恩华药业	2020-08-14	0.166	801150	医药生物I
002267.XSHE	陕天然气	2020-08-14	0.056	801160	公用事业I
002274.XSHE	华昌化工	2020-08-14	0.055	801030	化工I
002276.XSHE	万马股份	2020-08-14	0.108	801730	电气设备I
002277.XSHE	友阿股份	2020-08-14	0.088	801200	商业贸易I
002279.XSHE	久其软件	2020-08-14	0.068	801750	计算机I
002283.XSHE	天润工业	2020-08-14	0.128	801880	汽车I
002284.XSHE	亚太股份	2020-08-14	0.044	801880	汽车I
002291.XSHE	星期六	2020-08-14	0.086	801130	纺织服装I
002292.XSHE	奥飞娱乐	2020-08-14	0.148	801760	传媒I
002298.XSHE	中电兴发	2020-08-14	0.111	801720	建筑装饰I
002301.XSHE	齐心集团	2020-08-14	0.115	801140	轻工制造I
002303.XSHE	美盈森	2020-08-14	0.076	801140	轻工制造I
002305.XSHE	南国置业	2020-08-14	0.043	801180	房地产I
002307.XSHE	北新路桥	2020-08-14	0.066	801720	建筑装饰I
002308.XSHE	威创股份	2020-08-14	0.096	801750	计算机I
002309.XSHE	中利集团	2020-08-14	0.057	801730	电气设备I
002310.XSHE	东方园林	2020-08-14	0.154	801720	建筑装饰I
002312.XSHE	三泰控股	2020-08-14	0.112	801750	计算机I
002313.XSHE	日海智能	2020-08-14	0.077	801770	通信I
002314.XSHE	南山控股	2020-08-14	0.065	801180	房地产I
002318.XSHE	久立特材	2020-08-14	0.084	801040	钢铁I
002320.XSHE	海峡股份	2020-08-14	0.093	801170	交通运输I
002322.XSHE	理工环科	2020-08-14	0.078	801730	电气设备I
002324.XSHE	普利特	2020-08-14	0.131	801030	化工I
002326.XSHE	永太科技	2020-08-14	0.14	801030	化工I
002332.XSHE	仙琚制药	2020-08-14	0.209	801150	医药生物I
002335.XSHE	科华恒盛	2020-08-14	0.064	801730	电气设备I
002341.XSHE	新纶科技	2020-08-14	0.082	801030	化工I
002343.XSHE	慈文传媒	2020-08-14	0.06	801760	传媒I
002344.XSHE	海宁皮城	2020-08-14	0.054	801200	商业贸易I
002345.XSHE	潮宏基	2020-08-14	0.039	801140	轻工制造I
002346.XSHE	柘中股份	2020-08-14	0.026	801730	电气设备I
002351.XSHE	漫步者	2020-08-14	0.167	801080	电子I
002355.XSHE	兴民智通	2020-08-14	0.046	801880	汽车I
002358.XSHE	森源电气	2020-08-14	0.069	801730	电气设备I
002364.XSHE	中恒电气	2020-08-14	0.101	801730	电气设备I
002367.XSHE	康力电梯	2020-08-14	0.099	801890	机械设备I
002370.XSHE	亚太药业	2020-08-14	0.035	801150	医药生物I
002376.XSHE	新北洋	2020-08-14	0.092	801750	计算机I
002377.XSHE	国创高新	2020-08-14	0.027	801180	房地产I
002378.XSHE	章源钨业	2020-08-14	0.037	801050	有色金属I
002383.XSHE	合众思壮	2020-08-14	0.087	801750	计算机I
002389.XSHE	航天彩虹	2020-08-14	0.251	801740	国防军工I
002393.XSHE	力生制药	2020-08-14	0.05	801150	医药生物I
002400.XSHE	省广集团	2020-08-14	0.237	801760	传媒I
002402.XSHE	和而泰	2020-08-14	0.278	801080	电子I
002409.XSHE	雅克科技	2020-08-14	0.264	801080	电子I
002413.XSHE	雷科防务	2020-08-14	0.196	801740	国防军工I
002421.XSHE	达实智能	2020-08-14	0.119	801750	计算机I
002425.XSHE	凯撒文化	2020-08-14	0.163	801760	传媒I
002428.XSHE	云南锗业	2020-08-14	0.161	801050	有色金属I
002430.XSHE	杭氧股份	2020-08-14	0.134	801890	机械设备I
