code	display_name	weight	sw1_code	sw1_name
600867.XSHG	通化东宝	0.119	801150	医药生物
600886.XSHG	国投电力	0.15	801160	公用事业
600887.XSHG	伊利股份	1.429	801120	食品饮料
600893.XSHG	航发动力	0.227	801740	国防军工
600900.XSHG	长江电力	1.03	801160	公用事业
600919.XSHG	江苏银行	0.344	801780	银行
600926.XSHG	杭州银行	0.171	801780	银行
600928.XSHG	西安银行	0.043	801780	银行
600958.XSHG	东方证券	0.242	801790	非银金融
600968.XSHG	海油发展	0.029	801020	采掘
600977.XSHG	中国电影	0.064	801760	传媒
600989.XSHG	宝丰能源	0.05	801020	采掘
600998.XSHG	九州通	0.078	801150	医药生物
600999.XSHG	招商证券	0.492	801790	非银金融
601006.XSHG	大秦铁路	0.232	801170	交通运输
601009.XSHG	南京银行	0.29	801780	银行
601012.XSHG	隆基股份	1.212	801730	电气设备
601018.XSHG	宁波港	0.072	801170	交通运输
601021.XSHG	春秋航空	0.101	801170	交通运输
601066.XSHG	中信建投	0.156	801790	非银金融
601077.XSHG	渝农商行	0.035	801780	银行
601088.XSHG	中国神华	0.332	801020	采掘
601100.XSHG	恒立液压	0.171	801890	机械设备
601108.XSHG	财通证券	0.22	801790	非银金融
601111.XSHG	中国国航	0.13	801170	交通运输
601117.XSHG	中国化学	0.081	801720	建筑装饰
601138.XSHG	工业富联	0.165	801080	电子
601155.XSHG	新城控股	0.193	801180	房地产
601162.XSHG	天风证券	0.132	801790	非银金融
601166.XSHG	兴业银行	1.23	801780	银行
601169.XSHG	北京银行	0.424	801780	银行
601186.XSHG	中国铁建	0.233	801720	建筑装饰
601198.XSHG	东兴证券	0.108	801790	非银金融
601211.XSHG	国泰君安	0.503	801790	非银金融
601212.XSHG	白银有色	0.024	801050	有色金属
601216.XSHG	君正集团	0.149	801030	化工
601225.XSHG	陕西煤业	0.205	801020	采掘
601229.XSHG	上海银行	0.495	801780	银行
601231.XSHG	环旭电子	0.102	801080	电子
601236.XSHG	红塔证券	0.045	801790	非银金融
601238.XSHG	广汽集团	0.054	801880	汽车
601288.XSHG	农业银行	0.557	801780	银行
601298.XSHG	青岛港	0.024	801170	交通运输
601318.XSHG	中国平安	5.056	801790	非银金融
601319.XSHG	中国人保	0.088	801790	非银金融
601328.XSHG	交通银行	0.763	801780	银行
601336.XSHG	新华保险	0.317	801790	非银金融
601360.XSHG	三六零	0.103	801750	计算机
601377.XSHG	兴业证券	0.238	801790	非银金融
601390.XSHG	中国中铁	0.269	801720	建筑装饰
601398.XSHG	工商银行	1.055	801780	银行
601555.XSHG	东吴证券	0.203	801790	非银金融
601577.XSHG	长沙银行	0.055	801780	银行
601600.XSHG	中国铝业	0.116	801050	有色金属
601601.XSHG	中国太保	0.52	801790	非银金融
601607.XSHG	上海医药	0.143	801150	医药生物
601618.XSHG	中国中冶	0.116	801720	建筑装饰
601628.XSHG	中国人寿	0.453	801790	非银金融
601633.XSHG	长城汽车	0.142	801880	汽车
601658.XSHG	邮储银行	0.074	801780	银行
601668.XSHG	中国建筑	0.652	801720	建筑装饰
601669.XSHG	中国电建	0.176	801720	建筑装饰
601688.XSHG	华泰证券	0.74	801790	非银金融
601698.XSHG	中国卫通	0.047	801740	国防军工
601727.XSHG	上海电气	0.112	801730	电气设备
601766.XSHG	中国中车	0.409	801890	机械设备
601788.XSHG	光大证券	0.262	801790	非银金融
601800.XSHG	中国交建	0.16	801720	建筑装饰
601808.XSHG	中海油服	0.042	801020	采掘
601816.XSHG	京沪高铁	0.105	801170	交通运输
601818.XSHG	光大银行	0.356	801780	银行
601828.XSHG	美凯龙	0.026	801200	商业贸易
601838.XSHG	成都银行	0.131	801780	银行
601857.XSHG	中国石油	0.244	801020	采掘
601877.XSHG	正泰电器	0.199	801730	电气设备
601878.XSHG	浙商证券	0.196	801790	非银金融
601881.XSHG	中国银河	0.1	801790	非银金融
601888.XSHG	中国中免	1.332	801210	休闲服务
601898.XSHG	中煤能源	0.044	801020	采掘
601899.XSHG	紫金矿业	0.517	801050	有色金属
601901.XSHG	方正证券	0.212	801790	非银金融
601916.XSHG	浙商银行	0.056	801780	银行
601919.XSHG	中远海控	0.17	801170	交通运输
601933.XSHG	永辉超市	0.183	801200	商业贸易
601939.XSHG	建设银行	0.253	801780	银行
601985.XSHG	中国核电	0.167	801160	公用事业
601988.XSHG	中国银行	0.413	801780	银行
601989.XSHG	中国重工	0.242	801740	国防军工
601992.XSHG	金隅集团	0.063	801710	建筑材料
601997.XSHG	贵阳银行	0.106	801780	银行
601998.XSHG	中信银行	0.095	801780	银行
603019.XSHG	中科曙光	0.24	801750	计算机
603156.XSHG	养元饮品	0.078	801120	食品饮料
603160.XSHG	汇顶科技	0.176	801080	电子
603259.XSHG	药明康德	0.644	801150	医药生物
603260.XSHG	合盛硅业	0.024	801050	有色金属
603288.XSHG	海天味业	0.964	801120	食品饮料
603369.XSHG	今世缘	0.171	801120	食品饮料
603501.XSHG	韦尔股份	0.187	801080	电子
603658.XSHG	安图生物	0.128	801150	医药生物
603799.XSHG	华友钴业	0.145	801050	有色金属
603833.XSHG	欧派家居	0.116	801140	轻工制造
603899.XSHG	晨光文具	0.154	801140	轻工制造
603986.XSHG	兆易创新	0.349	801080	电子
603993.XSHG	洛阳钼业	0.161	801050	有色金属
